person,search_strat
6,0.8968360071301248
9,0.5796981077567529
11,0.5935569498069498
12,0.6073986563018504
13,0.7460107835107835
15,0.5580094537815126
16,0.5522005438286659
17,0.5753234363557677
18,0.3680555555555555
19,0.4225901377064168
21,0.786164475901584
22,0.35462077627420796
23,0.719946509009009
24,0.2910987768527084
25,0.6643846238358434
26,0.5512485481997677
27,0.3048749692042375
28,0.6198717948717949
29,0.5743662224403503
32,0.2625565273131196
33,0.40939754689754687
35,0.4295621657754011
36,0.8037427661725792
38,0.2513565891472868
39,0.4468196395191302
40,0.15743321718931474
42,0.3740884578852222
44,0.7229300385109114
45,0.4209438131313131
46,0.836838911922338
103,0.7078395277599684
104,0.5720081453634085
105,0.2761904761904762
107,0.28979328598231036
109,0.820925176188334
110,0.256547619047619
111,0.4176721224528076
112,0.2840479781656252
113,0.3890385510456289
116,0.5312123544823488
118,0.7826235326235327
120,0.6330346130126426
123,0.6039193022424729
125,0.6758838383838384
126,0.6796717171717171
300,0.5457902604641736
302,0.7818722943722944
303,0.5791640740452672
305,0.7901331311088642
306,0.4495443429309709
308,0.7026553696072659
310,0.4635024700957407
311,0.6013710981221241
313,0.8916071243657451
314,0.6406355645706558
315,0.37559903864251687
316,0.5795193687230991
318,0.5114788437369082
319,0.3867085489036709
320,0.5730118786987308
321,0.5144927536231884
322,0.241535949498538
404,0.3521088725536358
405,0.7077260215247851
406,0.4484610917537747
407,0.4090557275541796
408,0.5799046697982868
409,0.6037912912912913
410,0.8612423633078468
411,0.5900001568479829
412,0.5132575757575757
413,0.413219246031746
414,0.3953379953379953
416,0.4950611325611326
417,0.18142730496453904
418,0.8113953336276385
419,0.3332124309059622
422,0.8408841158841159
423,0.6418008636588548
424,0.25334861217214155
425,0.5888183453972928
426,0.43577235772357725
427,0.8326532390673426
428,0.21759945932551916
429,0.33188380688380686
430,0.631547619047619
432,0.41415356151711374
433,0.3854225751559841
501,0.6103971609785563
502,0.31825858250276856
503,0.23750274483970135
505,0.5742011278195489
507,0.5575396825396826
508,0.5364921026222784
509,0.25006435006435007
510,0.4433565506603683
512,0.8005201958384333
514,0.3704352699673176
515,0.856547619047619
601,0.3501623376623377
603,0.5855090736669684
606,0.4758433245275351
607,0.6050369769119769
608,0.968344155844156
609,0.17792370231394622
610,0.6250716625716626
613,0.3574043673129039
614,0.35767118863049097
615,0.3753451503451504
617,0.825272869022869
619,0.8296791984291985
622,0.6736054382074921
623,0.5433629007158419
625,0.839627659574468
626,0.6589424141749723
628,0.27653663693085134
629,0.8323366555924695
630,0.3444200726809422
631,0.7887401430405281
632,0.25603167261354126
633,0.4732368191621163
634,0.460427767780709
635,0.3114612511671335
638,0.7118062811595068
640,0.4746135977843295
641,0.7424308415162074
643,0.8327598722415795
645,0.3567145080302975
701,0.3630213674294306
703,0.2601413163849969
704,0.7488116405879564
706,0.8167701863354038
707,0.38738549217845875
709,0.59375
710,0.2517010026963262
711,0.33824932455251605
714,0.4938564544016481
715,0.26549351049813585
717,0.18629548257786
718,0.7030336257309941
719,0.5211017987180778
722,0.4128617253617254
723,0.4005197505197506
724,0.5935202443823133
725,0.6262472283813747
726,0.365413998427143
727,0.4540518424664766
729,0.18505868329359984
730,0.416200110864745
732,0.43577235772357725
733,0.30125591016548464
737,0.8768557422969188
738,0.7326499388004896
740,0.3840510366826157
742,0.7729325313615127
743,0.37293543543543545
744,0.7740707568293775
745,0.289709368153238
746,0.6635586635586636
748,0.3860237434474252
751,0.732077856420627
753,0.3801982591876209
754,0.2546568767499
755,0.9052083333333332
758,0.8316946001128169
759,0.4756944444444444
760,0.25252659574468084
761,0.39132814859559045
762,0.3055133173100505
764,0.40964005480134513
766,0.6982274482274482
767,0.3224778270509978
770,0.6232323232323232
772,0.5680036382369039
775,0.38567765732535647
776,0.3100363906766165
777,0.7911205073995772
778,0.5265034771613719
779,0.5502747252747253
781,0.4770833333333333
782,0.45110337666621686
783,0.6351560345620002
784,0.8040436527571609
785,0.40212449341438705
786,0.5457974137931034
788,0.19438020351526364
795,0.17351190476190476
797,0.3256822386679001
799,0.3683848013116306
802,0.6339285714285714
803,0.6757366171839856
804,0.5540370482230947
807,0.4107905982905983
808,0.6184041835357625
809,0.7448792016806722
811,0.48806755260243634
813,0.6423537702607469
814,0.6393292682926829
900,0.35510884461311404
901,0.5565717177559283
902,0.32748498114351776
